SIFID,d15N,d13C,WtN,WtC,CN,Comments,fishID,SampType,Stream,SampYR,SampDate,SiteID,SpecCode,TL_mm,Wt_g,Sex,Source,d13C.norm,trophic
2015_F050,9.035129,-27.8005398,13.67502064,49.88822783,3.648128155,NA,2015-LR02-CKC-01,Fish,Laramie,2015,10/8/15,LR02,CKC,96,NA,NA,Maitland,-27.50889293,NA
2015_F051,8.223941,-25.9935544,13.39462754,49.77681872,3.716177891,NA,2015-LR02-LND-01,Fish,Laramie,2015,10/8/15,LR02,LND,74,NA,NA,Maitland,-25.63453829,NA
2015_F052,9.159005,-25.8433922,12.80176096,46.13327493,3.603666329,NA,2015-LR02-CKC-06,Fish,Laramie,2015,10/8/15,LR02,CKC,68,NA,NA,Maitland,-25.59576253,NA
2015_F053,8.136029,-26.19713,13.55899163,48.40554373,3.569995841,NA,2015-LR02-LNS-03,Fish,Laramie,2015,10/8/15,LR02,LNS,80,NA,NA,Maitland,-25.98283412,NA
2015_F054,9.550613,-26.5569146,15.63863567,56.04319196,3.583636907,NA,2015-LR02-CKC-09,Fish,Laramie,2015,10/8/15,LR02,CKC,85,NA,NA,Maitland,-26.32911406,NA
2015_F055,8.645519,-26.5236572,13.15003336,47.67592077,3.625536109,NA,2015-LR02-LNS-06,Fish,Laramie,2015,10/8/15,LR02,LNS,74,NA,NA,Maitland,-26.25437645,NA
2015_F056,7.244921,-26.5579224,12.18984377,43.75845306,3.589746832,NA,2015-LR02-LNS-05,Fish,Laramie,2015,10/8/15,LR02,LNS,270,NA,NA,Maitland,-26.32407304,NA
2015_F057,7.552613,-25.9280474,13.97751465,49.27841523,3.525549174,NA,2015-LR02-BNT-10,Fish,NA,NA,NA,NA,NA,NA,NA,NA,Maitland,-25.75775372,NA
2015_F058,8.696468,-27.2492732,13.91967414,50.48068703,3.626571033,NA,2015-LR02-LNS-04,Fish,Laramie,2015,10/8/15,LR02,LNS,89,NA,NA,Maitland,-26.97896788,NA
2015_F059,8.436728,-25.8444,14.10029702,46.59283222,3.304386577,NA,2015-LR02-BNT-02,Fish,Laramie,2015,10/8/15,LR02,BNT,201,NA,NA,Maitland,-25.8444,NA
2015_F060,8.403761,-27.4175758,10.71185406,50.10142743,4.677194738,NA,2015-LR02-BNT-11,Fish,NA,NA,NA,NA,NA,NA,NA,NA,Maitland,-26.10715301,NA
2015_F061,7.470695,-25.3334454,13.42534956,49.78714554,3.708443144,NA,2015-LR02-BNT-09,Fish,NA,NA,NA,NA,NA,NA,NA,NA,Maitland,-24.98208669,NA
2015_F062,9.1718018,-25.7756505,11.21338903,39.10390845,3.487251566,NA,2015-LR02-BNT-01,Fish,Laramie,2015,10/8/15,LR02,BNT,281,NA,NA,Maitland,-25.7756505,NA
2015_F063,8.837568,-26.2617475,13.63577421,46.75945442,3.429174883,NA,2015-LR02-CKC-02,Fish,Laramie,2015,10/8/15,LR02,CKC,80,NA,NA,Maitland,-26.2617475,NA
2015_F064,8.5623755,-25.498313,13.82286078,49.80262928,3.602917666,NA,2015-LR02-CKC-07,Fish,Laramie,2015,10/8/15,LR02,CKC,63,NA,NA,Maitland,-25.25142451,NA
2015_F067,NA,NA,NA,NA,NA,Sample lost during the analysis. Rerun the sample.,2015-Mono-WHS-01,Fish,NA,NA,NA,NA,NA,NA,NA,NA,Maitland,NA,NA
2015_F068,NA,NA,NA,NA,NA,Sample lost during the analysis. Rerun the sample.,2015-Mono-LNS-03,Fish,NA,NA,NA,NA,NA,NA,NA,NA,Maitland,NA,NA
2015_F069,9.2868823,-30.7475555,12.84597052,46.83977474,3.646262045,NA,2015-Mono-LNS-01,Fish,NA,NA,NA,NA,NA,NA,NA,NA,Maitland,-30.45775608,NA
2015_F088,10.5237475,-27.432616,12.52071126,46.718289,3.731280757,NA,2015-Mono-WHS-06,Fish,NA,NA,NA,NA,NA,NA,NA,NA,Maitland,-27.05864805,NA
2015_F036,9.8412701,-26.409997,14.00061706,47.7215999,3.408535474,NA,2015-LR07-SMB-03,Fish,Laramie,2015,10/9/15,LR07,SMB,55,NA,NA,Maitland,-26.409997,NA
2016_F002,12.4886726,-27.990815,13.67944287,48.63891642,3.555621152,NA,2016-LR08-RDH-22,M1,Laramie,2016,9/2/16,LR08,RDH,210,117.66,UNK,Maitland,-27.79075006,NA
